Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN
SRR12845756,WGS,GRCH38,146,430398724,PRJNA669945,SAMN16481296,Pathogen.cl,106308153,UCL,Arab American University,2020-08-15,public,"sra,bam,activ_sars2_vcf","s3,gs","s3.us-east-1,gs.US",SRX9312948,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 40,missing,Library_40,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_40,SRP287708,missing
SRR12845757,WGS,GRCH38,146,34210256,PRJNA669945,SAMN16481295,Pathogen.cl,8691116,UCL,Arab American University,2020-07-27,public,"activ_sars2_vcf,sra,bam","s3,gs","gs.US,s3.us-east-1",SRX9312947,uncalculated,uncalculated,"State of Palestine: Hebron\, Hebron",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 39,missing,Library_39,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_39,SRP287708,missing
SRR12845758,WGS,GRCH38,144,33108686,PRJNA669945,SAMN16481294,Pathogen.cl,8468530,UCL,Arab American University,2020-07-27,public,"sra,bam,activ_sars2_vcf","s3,gs","gs.US,s3.us-east-1",SRX9312946,uncalculated,uncalculated,"State of Palestine: Ramallah\, Ramallah",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 36,missing,Library_36,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_36,SRP287708,missing
SRR12845759,WGS,GRCH38,145,502098275,PRJNA669945,SAMN16481293,Pathogen.cl,128334912,UCL,Arab American University,2020-03-04,public,"bam,activ_sars2_vcf,sra","gs,s3","gs.US,s3.us-east-1",SRX9312945,uncalculated,uncalculated,"State of Palestine: Tulkarem\, Tulkarem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 35,missing,Library_35,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_35,SRP287708,missing
SRR12845760,WGS,GRCH38,145,1934179,PRJNA669945,SAMN16481292,Pathogen.cl,792332,UCL,Arab American University,2020-03-04,public,"bam,sra,activ_sars2_vcf","gs,s3","s3.us-east-1,gs.US",SRX9312944,uncalculated,uncalculated,"State of Palestine: Tulkarem\, Tulkarem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 34,missing,Library_34,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_34,SRP287708,missing
SRR12845761,WGS,GRCH38,145,667161567,PRJNA669945,SAMN16481291,Pathogen.cl,169146297,UCL,Arab American University,2020-03-31,public,"bam,activ_sars2_vcf,sra","s3,gs","gs.US,s3.us-east-1",SRX9312943,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 33,missing,Library_33,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_33,SRP287708,missing
SRR12845762,WGS,GRCH38,145,718602850,PRJNA669945,SAMN16481290,Pathogen.cl,185781470,UCL,Arab American University,2020-03-31,public,"bam,sra,activ_sars2_vcf","gs,s3","s3.us-east-1,gs.US",SRX9312942,uncalculated,uncalculated,"State of Palestine: Ramallah\, Ramallah",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 32,missing,Library_32,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_32,SRP287708,missing
SRR12845763,WGS,GRCH38,145,20749210,PRJNA669945,SAMN16481289,Pathogen.cl,5447737,UCL,Arab American University,2020-03-31,public,"bam,sra,activ_sars2_vcf","gs,s3","gs.US,s3.us-east-1",SRX9312941,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 31,missing,Library_31,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_31,SRP287708,missing
SRR12845764,WGS,GRCH38,146,1935943,PRJNA669945,SAMN16481271,Pathogen.cl,766628,UCL,Arab American University,2020-07-16,public,"activ_sars2_vcf,bam,sra","gs,s3","gs.US,s3.us-east-1",SRX9312940,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 3,missing,Library_3,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_3,SRP287708,missing
SRR12845765,WGS,GRCH38,145,459660814,PRJNA669945,SAMN16481288,Pathogen.cl,117919261,UCL,Arab American University,2020-03-31,public,"sra,bam,activ_sars2_vcf","gs,s3","s3.us-east-1,gs.US",SRX9312939,uncalculated,uncalculated,"State of Palestine: Bethlehem\, Bethlehem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 30,missing,Library_30,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_30,SRP287708,missing
SRR12845766,WGS,GRCH38,145,18802669,PRJNA669945,SAMN16481287,Pathogen.cl,5044553,UCL,Arab American University,2020-03-31,public,"activ_sars2_vcf,sra,bam","s3,gs","s3.us-east-1,gs.US",SRX9312938,uncalculated,uncalculated,"State of Palestine: Bethlehem\, Bethlehem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 29,missing,Library_29,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_29,SRP287708,missing
SRR12845767,WGS,GRCH38,145,8181297,PRJNA669945,SAMN16481286,Pathogen.cl,2381432,UCL,Arab American University,2020-03-29,public,"activ_sars2_vcf,sra,bam","gs,s3","gs.US,s3.us-east-1",SRX9312937,uncalculated,uncalculated,"State of Palestine: Ramallah\, Ramallah",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 28,missing,Library_28,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_28,SRP287708,missing
SRR12845768,WGS,GRCH38,146,65342852,PRJNA669945,SAMN16481285,Pathogen.cl,16109075,UCL,Arab American University,2020-03-22,public,"bam,sra,activ_sars2_vcf","gs,s3","gs.US,s3.us-east-1",SRX9312936,uncalculated,uncalculated,"State of Palestine: Ramallah\, Ramallah",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 24,missing,Library_24,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_24,SRP287708,missing
SRR12845769,WGS,GRCH38,146,8438484,PRJNA669945,SAMN16481284,Pathogen.cl,2351687,UCL,Arab American University,2020-03-22,public,"sra,bam,activ_sars2_vcf","s3,gs","gs.US,s3.us-east-1",SRX9312935,uncalculated,uncalculated,"State of Palestine: Ramallah\, Ramallah",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 23,missing,Library_23,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_23,SRP287708,missing
SRR12845770,WGS,GRCH38,146,9923951,PRJNA669945,SAMN16481283,Pathogen.cl,2807246,UCL,Arab American University,2020-03-21,public,"activ_sars2_vcf,sra,bam","gs,s3","s3.us-east-1,gs.US",SRX9312934,uncalculated,uncalculated,"State of Palestine: Bethlehem\, Bethlehem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 22,missing,Library_22,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_22,SRP287708,missing
SRR12845771,WGS,GRCH38,146,57846442,PRJNA669945,SAMN16481282,Pathogen.cl,14616596,UCL,Arab American University,2020-03-19,public,"sra,activ_sars2_vcf,bam","gs,s3","s3.us-east-1,gs.US",SRX9312933,uncalculated,uncalculated,"State of Palestine: Ramallah\, Ramallah",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 21,missing,Library_21,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_21,SRP287708,missing
SRR12845772,WGS,GRCH38,146,5612052,PRJNA669945,SAMN16481281,Pathogen.cl,1688117,UCL,Arab American University,2020-03-16,public,"activ_sars2_vcf,sra,bam","s3,gs","s3.us-east-1,gs.US",SRX9312932,uncalculated,uncalculated,"State of Palestine: Bethlehem\, Bethlehem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 19,missing,Library_19,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_19,SRP287708,missing
SRR12845773,WGS,GRCH38,146,1717811,PRJNA669945,SAMN16481280,Pathogen.cl,787001,UCL,Arab American University,2020-03-16,public,"sra,bam,activ_sars2_vcf","s3,gs","gs.US,s3.us-east-1",SRX9312931,uncalculated,uncalculated,"State of Palestine: Bethlehem\, Bethlehem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 16,missing,Library_16,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_16,SRP287708,missing
SRR12845774,WGS,GRCH38,146,128005477,PRJNA669945,SAMN16481279,Pathogen.cl,32833307,UCL,Arab American University,2020-03-07,public,"bam,activ_sars2_vcf,sra","s3,gs","gs.US,s3.us-east-1",SRX9312930,uncalculated,uncalculated,"State of Palestine: Bethlehem\, Bethlehem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 15,missing,Library_15,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_15,SRP287708,missing
SRR12845775,WGS,GRCH38,146,622196316,PRJNA669945,SAMN16481270,Pathogen.cl,153791643,UCL,Arab American University,2020-07-15,public,"sra,activ_sars2_vcf,bam","s3,gs","gs.US,s3.us-east-1",SRX9312929,uncalculated,uncalculated,"State of Palestine: Ramallah\, Jalazon",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 2,missing,Library_2,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_2,SRP287708,missing
SRR12845776,WGS,GRCH38,146,216812960,PRJNA669945,SAMN16481269,Pathogen.cl,53903008,UCL,Arab American University,2020-07-15,public,"sra,bam,activ_sars2_vcf","gs,s3","gs.US,s3.us-east-1",SRX9312928,uncalculated,uncalculated,"State of Palestine: Ramallah\, Jalazon",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 1,missing,Library_1,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_1,SRP287708,missing
